"title","detailed text","publish date","topic","learn more url"
"Ex-Im Loan Supports Georgia Small Business Expansion Efforts","Founded in 1982, Post Medical researches, develops, and produces products for the safe handling and disposal of infectious medical waste, especially needles, syringes, and other sharps. The company's products are used in hospitals, laboratories, nursing homes, prisons, and jails, among other settings.
In line with its focus on boosting small-business exports, Ex-Im Bank authorized a $50,000 Global Credit Express (GCE) loan to Post Medical Inc. of Alpharetta, Ga., to support the export of disposal containers for needles, syringes, and other sharps to buyers in Australia, Canada, New Zealand, France, and Italy.
The Ex-Im Bank line of credit will support $95,000 in exports and sustain two jobs in Alpharetta. Export Insurance Services served as the originator for the GCE loan and the broker for Trade Credit Insurance.
“ Post Medical is very excited to partner with the Export-Import Bank to continue our growing export business internationally. This partnership is crucial to support our growing team of people and will enable us to pursue additional overseas markets for our sharps-disposal products in the Middle East and Latin America. ”
- Matthew Walker, President and Chief Operating Officer
","October 24, 2013 - 10:00am","Global Credit Express (GCE) loan","" 
"USDA Partners with Service Organizations to Help Veterans Find Careers","Veterans returning home from overseas tours-of-duty face many challenges as they readjust to civilian life, and one of the most daunting ones is finding employment. Last year, a new program — the Soldiers to Civilians (S2C) Project — was started in rural west Tennessee to give local veterans the training and skills they need to enter into the field of precision agriculture. Thanks to grant assistance from the Department of Agriculture (USDA), project leaders will now be able to expand the S2C program beyond west Tennessee to help even more veterans living in the rural delta areas of east Arkansas and west Mississippi.
The expansion was funded, in part, through USDA’s Rural Business Enterprise Grant (RBEG) program, which promotes development of small and emerging businesses in rural areas. Rural Business-Cooperative Service Administrator Lillian Salerno announced the award during a visit to the Memphis Bioworks Foundation, a bioscience-oriented nonprofit organization that is a partner on the S2C project. Memphis Bioworks is one of more than 130 projects in 30 states and the Commonwealth of Puerto Rico that are receiving RBEG funds.
The S2C project to train veterans for precision agriculture jobs was the idea of Tennessee’s Crockett Policy Institute. Memphis Bioworks has teamed with the Institute on the S2C project and it is receiving a USDA grant that will enable S2C to expand into 110 counties.
Precision agriculture uses sophisticated equipment like GPS, satellite imagery and other computer technology to help farmers manage their crops. Veterans are excellent candidates for this type of work because their military training exposes them to similar technology systems. “Today, veterans are computer-savvy and used to operating very advanced systems,” noted Bill Stubblefield, director of Memphis Bioworks’ AgBioworks Regional Initiative, at the event.
According to Salerno, the RBEG program finances a broad range of business projects. Since the beginning of the Obama Administration, the RBEG program has helped create or save more than 73,000 rural jobs, provided over $170.9 million in economic development assistance, improved manufacturing capability, and expanded health care and educational facilities, and has either expanded or helped establish almost 41,070 rural businesses and community projects.
Learn more about the Rural Business Enterprise Grant program, and other USDA programs that support rural business development, at www.rurdev.usda.gov.
","August 29, 2013 - 10:15am","Veterans, USDA, Rural Business Enterprise Grant program","/www.rurdev.usda.gov." 
"Rebuilding New Orleans – MBDA Helps Construction Company Obtain $14 Milllion Contract And Create 120 Jobs","Company Name:	G&M Associates
Industry Sector:	Construction and Engineering
Results of MBDA Assistance:	$14 Million Contract
120 Jobs Created and/or Retained
MBDA Support:	Access to Contracts
Access to Markets
Strategic Business Consulting
Owner Greg Rice has taken G&M Associates from a small construction and engineering service provider to a full-service design and build contractor that provides services for the commercial, institutional and governmental sectors. He credits the MBDA Business Center in Jackson, Mississippi, with playing a significant role in that growth.
Headquartered in Tennessee, G&M sought counsel on extending into new markets.  The Jackson MBDA provided assistance in identifying contracts, strategic bidding and marketing. As a result, G&M Associates was awarded a $14 million contract from Gulf Coast Housing to build a multi-family, commercial and retail facility in a New Orleans neighborhood that had been hit hard by Hurricane Katrina. The project includes retail space on the ground floor, topped by two floors of affordable housing. The contract created 120 new jobs and attracted workers from the surrounding states.
""Working with MBDA has been a phenomenal experience. Their experts seem to really have the pulse of the city and the state. They know about both the local and the federal jobs that are out there. And they have helped us get some really big contracts and expand our business. Their services resulted in a $14 million revenue stream which otherwise would not have been available to G & M Associates.” Greg Rice, Principal and Owner
","August 28, 2013 - 1:15pm","MBDA, contract, minority business development agency, Access to Contracts,  Access to Markets","http://www.mbda.gov/pressroom/success-stories/rebuilding-new-orleans-mbda-helps-construction-company-obtain-14-milllion-contract-and-create-120-jobs, http://www.mbda.gov/" 
"Sambazon: Making Trees in the Rainforest ""Too Valuable to Cut Down""","Site: Brazilian Rainforest 
Sector: Agriculture, food
Challenge: Sambazon, a small and growing U.S. business needed financing for an overseas project to develop a sustainable way to build a more reliable supply of açai berries.
Solution: An OPIC loan financed construction of an environmentally-sustainable, organic açai-berry processing facility.
Impact: Processing facility creates income for 10,000 family farmers in the rainforest. Sambazon more than doubles its U.S. employee base.
Sambazon Inc. of San Clemente, Calif. was formed in the year 2000 when a couple of friends traveling in Brazil noticed the local popularity of the antioxidant-rich açai berry and saw an opportunity to introduce it into the U.S. They started by purchasing a container of frozen pulp and peddling it to juice bars in southern California, but as sales took off in retail stores around the United States, they began to look into more reliable and efficient ways to collect and process the açai berries, which grow in the wild in the Brazilian Rainforest.
In 2006, Sambazon’s Brazilian subsidiary, Açai do Amapa Agroindustrial, obtained a $3.7 million loan from OPIC for the construction of an environmentally-sustainable, organic açai-berry processing facility. The Company saw the plant not only as a way to introduce sustainable industry into the rainforest, but also to secure a stable supply for its growing U.S. business.
As a small business without a lot of assets, we were challenged in the world of credit. And obtaining financing was even harder for an overseas project” recalls Sambazon CEO, Ryan Black, who co-founded the business with his brother Jeremy. “OPIC not only provided the fixed asset financing we needed and also gave us the flexibility to grow our working capital as our business required. As an agricultural company with an annual crop period, this was immensely helpful to our success.”
Company's U.S. staff doubles. The business has grown steadily, providing income for 10,000 small family farmers who harvest the açai berries in the rainforest. “Every year, we continue to certify more and more farmers in fair trade and organic farming,” says Black, who once described the company’s mission as “to use açai as a vehicle to promote sustainable development in the Amazon by making the trees too valuable to cut down.”
In the U.S., the company’s açai juice drinks are now available in grocery stores and restaurants across the country. That explosive demand has also contributed to increased employment in the U.S. Since it began building its processing facility in the rainforest, Sambazon has more than doubled its U.S. employee base, to about 60.
Sambazon won the 2006 Award for Corporate Excellence, the “ACE” award for its work with indigenous populations in the Brazilian Amazon.
","August 28, 2013 - 12:00pm","OPIC loan financed construction of an environmentally-sustainable, organic açai-berry processing facility.","http://www.opic.gov/" 
" Kelley’s Country Creamery Receives  Value-Added Producer Grant award","The national early morning show, Good Morning America (GMA) wanted to know what America’s favorite thing about summer is, so they asked viewers and the overwhelming response was getting ice cream with family and friends.  As a result, GMA decided to find and showcase America’s Best Ice Cream.
A favorite place for many Wisconsin residents is Kelley’s Country Creamery located in Fond du Lac, Wisconsin. The business was one of three ice cream shops selected and featured as “America’s Best Ice Cream” on the ABC early morning talk show, Good Morning America. Kelley’s Country Creamery is a 150-year-old family dairy and farmstead operated by Karen and Tim Kelley, and their children – Amie, Betsy, Heidi, Molly, and Clark. The family operates a 200-acre farmstead dairy and tend the 65 Holsteins that provide the milk for the Creamery. 
In 2008, Karen and Tim Kelley received a Value-Added Producer Grant from USDA Rural Development to conduct a feasibility study on the production and marketing of their family’s homemade ice cream and for the development of a business plan of an onsite creamery.  Three years later, Kelley’s Country Creamery was open for business.  The company later received a second Value-Added Producer Grant award that provided them with additional working capital, which allowed them to sell ice cream to local markets and restaurants. The Creamery has more than 200 different flavors, with 22 available daily.  In addition, the creamery makes and sells ice cream cakes, pies, cheese, and “kurds.”
","August 11, 2013 - 2:45pm","Value-Added Producer Grants (VAPG)","http://www.rurdev.usda.gov/BCP_VAPG.html,, http://abcnews.go.com/GMA/video/americas-best-ice-cream-kelley-country-creamery-19734257" 
"Community Rallies to Save its Historic Theater","The Scenic Theater in Lisbon, North Dakota, like many small-town theaters, was struggling with the high cost to convert from a film to digital format. Film had been an industry standard for more than a hundred years, but Hollywood studios will stop printing on actual film by the end of the year.
Established in 1911, the Scenic is the oldest, continually operating theater in the United States. Due to the digital upgrade, theater owners, Al and Betty Michels, were worried that it would be forced to go dark for the first time. To make the transition, all new equipment would have to be purchased and installed, which would cost close to $100,000. With this daunting number, the community rallied to help preserve the historic theater.
A group of seven local residents organized the Save Our Scenic (S.O.S.) campaign in April. In three months, they raised over $74,000. Donations came in from folks in 15 different states and over 300 local donors. All ages were involved in the fundraising efforts which included: a second grader selling eggs, donated babysitting money, barbecues, and an Elvis impersonator show.
Receiving over 30 letters of support, USDA Rural Development helped the campaign reach its goal by awarding the City of Lisbon a Rural Business Enterprise Grant - http://www.rurdev.usda.gov/BCP_rbeg.html. The equipment was then purchased by the City of Lisbon who will lease it at a nominal fee to the theater owners.
“Being 70 miles from the next closest theater, the Lisbon area certainly would have lost an entertainment focal point and a core business,” said Jasper Schneider, USDA Rural Development state director. “The community’s support and generosity really saved the Scenic.”
To learn more about how our programs can help finance small and emerging businesses, please visit - http://www.rurdev.usda.gov/LP_Subject_BusinessAndCooperativeAssistance.html.
","July 18, 2013 - 9:00am","Rural Business Enterprise Grant","http://www.rurdev.usda.gov/BCP_rbeg.html, http://www.rurdev.usda.gov/LP_Subject_BusinessAndCooperativeAssistance.html" 
" Rural Development’s Business & Industry Loan Guarantee Helps  Maryland Company","True Chesapeake Oyster Company has found what the company believes is the perfect place to grow an oyster. St. Jerome Creek, located near the midpoint of the Chesapeake Bay, is the nursery grounds for their not-too-salty, not-too-sweet oyster. The company was launched in 2010 and since then has grown by leaps and bounds. Its clean, crisp oyster, called the “Skinny Dipper,” was introduced at Pimlico Racecourse during the running of the 138th Preakness Stakes, where some 11,000 oysters were shucked and served.
USDA first communicated with The Patapsco Bank in Baltimore in March to explain how Rural Development’s Business & Industry loan guarantee program (http://www.rurdev.usda.gov/BCP_gar.html) could help the bank and its business clients. As a result of the conversation, True Chesapeake Oyster Company secured a loan, guaranteed by USDA, to support shoreline restoration and repair an existing pier at its oyster growing operation in St. Jerome Creek.  The company sells oysters in Washington, D.C., Baltimore and in Annapolis.
USDA Rural Development has increased its marketing efforts to promote the Business & Industry Loan Guarantee Program by meeting with top executives and loan officers at financial institutions throughout the state.
According to USDA Rural Development Acting Under Secretary Doug O’Brien, “In today’s environment, economic recovery is the driving factor in everything we do, and our support for this local food project will have many benefits,” O’Brien said. “It will help support jobs and businesses in the region and support an eco-friendly environment that helps restore and protect the Chesapeake Bay.”
Under Secretary Doug O’Brien was joined by Patapsco Bank President/CEO Michael Dee to announce funding support for the Chesapeake Bay Oyster,one of Maryland’s favorite delicacies. 
","July 18, 2013 - 8:45am"," Rural Development’s Business & Industry loan guarantee program","http://www.rurdev.usda.gov/BCP_gar.html" 
"USDA Promoting Strategic Regional Economic Opportunities","Memphis, Tennessee is emerging as a metro region where rural and urban economic opportunities suggest the need for meaningful collaborative activities. Recently, USDA staff participated in a gathering of community development workshop in Memphis where rural leaders gathered to share challenges and successes with urban counterparts. The event was sponsored by the National Association of Development Organizations (NADO), the Delta Regional Authority, and the U.S. Department of Housing and Urban Development’s (HUD) Office of Sustainable Housing and Communities.
Beginning in 2010, HUD began providing three-year Regional Planning grants to groups that were interested in developing long-range community plans that would help guide future federal investments in a more strategic manner. A number of those grants have been provided to communities in the Mississippi Delta region, and last week’s meeting gave the Delta Region grantees a chance to share successes and challenges of their efforts.
One of the panels paired the East Arkansas Planning and Development District with the Shelby County Government effort providing them with an opportunity to explain the progress they are making with their Regional Planning grant.  One of the ongoing challenges will be for these rural and urban communities to determine how their future prosperity hinges on strategies that link rural and urban citizens.
Another purpose of the meeting was aimed at bringing philanthropic foundations to the table so they could learn more about federal grantees work and explore ways in which they could complement these planning efforts. In addition to Delta Region community foundations, staff from the W.K. Kellogg Foundation attended, demonstrating their foundation’s enduring interest in the Mississippi Delta region.
A topic of particular interest to rural foundations was a discussion of capacity building opportunities associated with the inter-generational wealth transfer in rural areas.  Mary Hinde of the Community Foundation of Northwest Missouri shared with the audience that since Secretary of Agriculture keynoted at the foundation’s inaugural meeting in January 2011 the foundation has established endowment funds of nearly $15 million, providing growing capacity to serve an18 county rural area of Missouri.
Also participating was staff from the White House’s Stronger Cities Stronger Communities (SC2) multi-agency initiative aimed at providing targeted federal technical assistance to some of the nation’s most economically challenged cities.  USDA is working with SC2 via our Strike Force Initiative to collaborate with partners such as Heifer International to support efforts that will support rural farmers in providing locally grown and healthy food to urban populations in the Memphis region.
Finally, we heard about another USDA initiative—Stronger Economies Together (SET) — from Bo Beaulieu of Purdue University’s Center for Regional Economic Development.  SET enables rural places to work together in developing and implementing economic development blueprints for multi-county regions. This exciting initiative was launched in 2010 and will have served 60-plus regions in 28 states by the end of 2013.
Regional strategic planning is essential for USDA’s community development and public infrastructure programs to be implemented effectively.  Hopefully, meetings like this one will give participants a few more tools to ensure success at developing modern economic strategies and in creating rural places where the future generations want to live and work.
","July 10, 2013 - 3:00pm","USDA, Federal Partners, and Foundations Collaborating to Promote Strategic Regional Economic Opportunities","http://www.usda.gov" 
"USDA Grant Fund Helps Expand Businesses and Create Jobs in South Dakota","Last fall, South Dakota USDA Rural Development highlighted a valuable partner; GROW South Dakota, formerly known as the Northeast South Dakota Economic Corporation, for its 18 year partnership in community lending.  While giving back to the communities they serve, GROW South Dakota has also contributed to the region as a whole through its fiscal administrative support of regional planning and development through a Rural Business Enterprise Grant (RBEG)  and a  Rural Business Opportunity Grant (RBOG).
 “The total impact that GROW has had is not just measured in loans made or jobs created; they have assisted in the stabilization and creation of thriving, vibrant communities in rural South Dakota,” said South Dakota State Director Elsie Meeks.  Small businesses use U.S. Department of Agriculture funds to develop and provide web-based technical assistance for the region’s partnering organizations and for a regional website that provides a central link to local organizations and expertise for the current technology and available social media.
By providing industry information, community data, commercial real estate information, and quality of life information, the northeast South Dakota region collectively markets through the South Dakota Prairie Gateway website.  “ This regional approach to a website and social media incorporates regional collaboration and shared values while generating benefits and marketing for the people and businesses of our region,” said Lori Finnesand, Chief Executive Officer for GROW South Dakota.
By August 2012, the nonprofit economic development corporation received and implemented 10 Intermediary Relending Program (IRP) loans that helped affected twenty-eight different communities, ninety-eight businesses, and leveraged $15.6 million in total financial support for start-up and expanding businesses.
And the success continues.
Capitalizing on the region’s readiness to work together, those same communities have continued partnering. Sharing their success with the region, GROW South Dakota has provided USDA leveraged funds to further sustain the businesses in their service area as well as support the success of the region for a sustainable future.
","June 24, 2013 - 1:45pm","USDA Rural Business Enterprise Grant,  USDA Rural Business Opportunity Grant","http://www.rurdev.usda.gov/SD_RuralDevelopment.html, http://www.growsd.org/growsd, http://www.rurdev.usda.gov/BCP_RBOG.html, http://www.sdprairiegateway.org/prairie-gateway, http://www.usda.gov" 
"USDA Helps  Fund Alaska’s First Member-Owned Community Grocery Store","Alaska’s first member-owned community grocery store is open for business thanks in part to a U.S. Department of Agriculture (USDA) Rural Economic Development Loans and Grants (REDLG) that helped fund the Fairbanks Community Cooperative Market.
Golden Valley Electric Association (GVEA), a USDA borrower since 1949, made project possible.  GVEA received a REDLG to fund a revolving loan, which it used to help establish the market.  USDA Rural Development Alaska State Director Jim Nordlund traveled to Fairbanks, Alaska last month to join with community, volunteers, and founders in the grand opening of the new Market.  The store has already provided more than 20 new local jobs for residents.
“We couldn’t be more pleased and proud of the longtime partnership we’ve had with GVEA,” said Nordlund.  This is the first time Alaska has received REDLG funding in more than 10 years and we couldn’t be more excited for the business owners, volunteers, and residents in celebration of their new, local marketplace.  The project complements USDA’s “Know Your Farmer, Know Your Food” initiative by strengthening the connection between farmers and consumers and supporting local and regional food systems.”
The market will provide opportunities for Alaska farmers and ranchers to promote their locally and regionally produced food and expand access to affordable fresh and local food.  Additionally, its educational efforts should cultivate healthy eating habits and educated, empowered consumers.
“Our collaborative success today couldn’t be complete without the strength and determination of the staff and volunteers at the Fairbanks Community Cooperative Market, Alaska’s first food cooperative, and we want to make sure they receive credit for their teamwork in this effort,” said Mary Christensen, General Manager of the Co-op Market Grocery & Deli.  The goal of the new marketplace is to emphasize Alaska-grown and made foods as much as possible.
With more than 1,500 followers on Facebook and spotlights from local media, residents quickly discovered the new Co-op as a place where you can find freshly prepared soups, sandwiches, salads, local meats, and Alaskan seafood that are local produce and much more.
“We can’t stress how important it is that Alaska builds its agriculture and food security programs and it’s the successful partnership between USDA and local business that will go a long way to encourage this industry and bolster community and economic growth, and provide new jobs in the Fairbanks area,” said Nordlund.  We hope that other electric and telecommunications companies in Alaska will be inspired to follow suit and work with Rural Development to establish similar success stories in their own communities.
","June 24, 2013 - 1:30pm","U.S. Department of Agriculture Rural Economic Development Loans and Grants ","http://www.rurdev.usda.gov/BCP_redlg.html, http://www.rurdev.usda.gov/AKHome.html, http://www.usda.gov/wps/portal/usda/knowyourfarmer?navid=KNOWYOURFARMER, http://www.rurdev.usda.gov/Home.html" 
